"날짜","종가","시가","고가","저가","거래량","변동 %"
"2011- 01- 11","2,088.32","2,079.85","2,088.32","2,059.67","410.95M","0.36%"
"2011- 01- 10","2,080.81","2,082.29","2,088.64","2,069.30","342.64M","-0.26%"
"2011- 01- 07","2,086.20","2,073.68","2,086.20","2,068.66","335.56M","0.41%"
"2011- 01- 06","2,077.61","2,094.35","2,096.65","2,066.10","407.83M","-0.24%"
"2011- 01- 05","2,082.55","2,083.10","2,087.14","2,076.92","386.06M","-0.12%"
"2011- 01- 04","2,085.14","2,074.56","2,085.14","2,069.12","415.91M","0.73%"
"2011- 01- 03","2,070.08","2,063.69","2,070.09","2,054.83","354.08M","0.93%"
"2010- 12- 30","2,051.00","2,047.82","2,052.97","2,041.66","305.88M","0.37%"
"2010- 12- 29","2,043.49","2,028.57","2,043.49","2,027.52","282.56M","0.50%"
"2010- 12- 28","2,033.32","2,028.41","2,041.83","2,026.57","360.19M","0.55%"
"2010- 12- 27","2,022.19","2,024.56","2,034.62","2,018.75","282.87M","-0.37%"
"2010- 12- 24","2,029.60","2,040.64","2,042.89","2,027.96","317.44M","-0.39%"
"2010- 12- 23","2,037.53","2,042.41","2,043.62","2,028.78","341.07M","-0.03%"
"2010- 12- 22","2,038.11","2,039.35","2,045.39","2,035.25","335.35M","0.05%"
"2010- 12- 21","2,037.09","2,035.11","2,043.81","2,032.66","370.45M","0.83%"
"2010- 12- 20","2,020.28","2,008.14","2,021.70","1,996.44","409.15M","-0.30%"
"2010- 12- 17","2,026.30","2,018.28","2,027.55","2,010.75","503.50M","0.85%"
"2010- 12- 16","2,009.24","2,009.86","2,019.49","2,002.33","362.51M","-0.41%"
"2010- 12- 15","2,017.48","2,009.20","2,017.48","2,004.06","490.27M","0.42%"
"2010- 12- 14","2,009.05","2,000.60","2,009.05","1,996.82","396.59M","0.62%"
"2010- 12- 13","1,996.59","1,993.42","1,997.36","1,983.93","385.63M","0.53%"
"2010- 12- 10","1,986.14","1,984.11","1,991.96","1,979.73","373.86M","-0.14%"
"2010- 12- 09","1,988.96","1,963.88","1,988.96","1,961.68","448.35M","1.70%"
"2010- 12- 08","1,955.72","1,960.30","1,970.91","1,953.97","496.39M","-0.35%"
"2010- 12- 07","1,962.52","1,955.63","1,964.64","1,952.56","639.16M","0.45%"
"2010- 12- 06","1,953.64","1,961.23","1,961.47","1,946.35","460.28M","-0.18%"
"2010- 12- 03","1,957.26","1,960.61","1,960.61","1,948.51","438.58M","0.36%"
"2010- 12- 02","1,950.26","1,943.71","1,950.26","1,940.23","439.00M","1.09%"
"2010- 12- 01","1,929.32","1,907.70","1,929.32","1,904.71","339.16M","1.30%"
"2010- 11- 30","1,904.63","1,889.89","1,917.57","1,889.86","443.69M","0.48%"
"2010- 11- 29","1,895.54","1,904.95","1,912.53","1,880.58","299.80M","-0.33%"
"2010- 11- 26","1,901.80","1,932.78","1,936.72","1,893.94","459.21M","-1.34%"
"2010- 11- 25","1,927.68","1,934.97","1,935.59","1,916.16","323.35M","0.09%"
"2010- 11- 24","1,925.98","1,883.92","1,928.45","1,882.52","451.50M","-0.15%"
"2010- 11- 23","1,928.94","1,938.91","1,943.48","1,919.15","377.79M","-0.79%"
"2010- 11- 22","1,944.34","1,947.01","1,954.78","1,939.51","330.55M","0.17%"
"2010- 11- 19","1,940.96","1,936.74","1,940.96","1,927.81","292.69M","0.68%"
"2010- 11- 18","1,927.86","1,908.38","1,929.24","1,904.37","271.42M","1.62%"
"2010- 11- 17","1,897.11","1,877.23","1,908.17","1,875.34","293.29M","-0.11%"
"2010- 11- 16","1,899.13","1,912.11","1,916.07","1,890.00","336.33M","-0.77%"
"2010- 11- 15","1,913.81","1,918.69","1,925.43","1,900.25","303.80M","0.04%"
"2010- 11- 12","1,913.12","1,951.35","1,958.22","1,899.49","465.47M","-0.08%"
"2010- 11- 11","1,914.73","1,966.50","1,976.46","1,914.73","373.18M","-2.70%"
"2010- 11- 10","1,967.85","1,945.73","1,967.85","1,945.28","366.01M","1.05%"
"2010- 11- 09","1,947.46","1,943.56","1,947.66","1,935.38","298.82M","0.26%"
"2010- 11- 08","1,942.41","1,946.76","1,948.44","1,930.29","312.65M","0.18%"
"2010- 11- 05","1,938.96","1,962.34","1,966.99","1,938.57","401.40M","-0.18%"
"2010- 11- 04","1,942.50","1,941.56","1,945.58","1,936.04","324.78M","0.34%"
"2010- 11- 03","1,935.97","1,931.13","1,943.23","1,930.11","358.98M","0.93%"
"2010- 11- 02","1,918.04","1,912.28","1,920.29","1,907.18","340.83M","0.17%"
"2010- 11- 01","1,914.74","1,889.57","1,914.74","1,880.25","343.30M","1.69%"
"2010- 10- 29","1,882.95","1,913.61","1,913.95","1,875.31","375.84M","-1.31%"
"2010- 10- 28","1,907.87","1,909.38","1,914.89","1,901.80","348.38M","-0.09%"
"2010- 10- 27","1,909.54","1,919.48","1,924.61","1,902.18","392.95M","-0.51%"
"2010- 10- 26","1,919.41","1,913.25","1,919.56","1,909.27","351.86M","0.19%"
"2010- 10- 25","1,915.71","1,902.51","1,918.87","1,899.08","408.17M","0.97%"
"2010- 10- 22","1,897.31","1,882.08","1,897.31","1,880.25","348.42M","1.21%"
"2010- 10- 21","1,874.69","1,878.51","1,879.08","1,858.38","414.87M","0.23%"
"2010- 10- 20","1,870.44","1,844.41","1,875.76","1,837.08","367.89M","0.71%"
"2010- 10- 19","1,857.32","1,878.98","1,885.23","1,857.32","426.77M","-0.97%"
"2010- 10- 18","1,875.42","1,904.57","1,904.79","1,875.42","372.19M","-1.41%"
"2010- 10- 15","1,902.29","1,898.85","1,903.25","1,893.76","369.33M","0.13%"
"2010- 10- 14","1,899.76","1,886.68","1,899.76","1,884.45","375.10M","1.26%"
"2010- 10- 13","1,876.15","1,878.58","1,881.20","1,866.41","318.75M","0.43%"
"2010- 10- 12","1,868.04","1,892.27","1,893.13","1,857.93","315.47M","-1.16%"
"2010- 10- 11","1,889.91","1,908.55","1,909.01","1,885.08","341.19M","-0.38%"
"2010- 10- 08","1,897.07","1,900.86","1,900.86","1,887.98","374.07M","-0.20%"
"2010- 10- 07","1,900.85","1,901.20","1,906.02","1,893.14","398.96M","-0.16%"
"2010- 10- 06","1,903.95","1,897.07","1,905.73","1,894.02","392.06M","1.33%"
"2010- 10- 05","1,878.94","1,874.10","1,885.00","1,868.89","342.73M","-0.02%"
"2010- 10- 04","1,879.29","1,884.49","1,889.50","1,875.93","392.50M","0.14%"
"2010- 10- 01","1,876.73","1,872.39","1,884.00","1,868.90","366.20M","0.21%"
"2010- 09- 30","1,872.81","1,870.21","1,872.81","1,861.18","353.55M","0.34%"
"2010- 09- 29","1,866.45","1,865.27","1,873.79","1,864.43","359.93M","0.56%"
"2010- 09- 28","1,855.97","1,859.04","1,862.72","1,852.52","357.14M","-0.26%"
"2010- 09- 27","1,860.83","1,856.42","1,862.03","1,851.97","383.63M","0.77%"
"2010- 09- 24","1,846.60","1,830.22","1,846.60","1,825.80","274.23M","0.76%"
"2010- 09- 20","1,832.63","1,821.52","1,833.78","1,818.60","242.70M","0.29%"
"2010- 09- 17","1,827.35","1,823.64","1,828.54","1,812.05","317.38M","0.86%"
"2010- 09- 16","1,811.85","1,822.35","1,824.61","1,811.85","336.25M","-0.66%"
"2010- 09- 15","1,823.88","1,817.30","1,827.00","1,813.09","338.94M","0.48%"
"2010- 09- 14","1,815.25","1,824.78","1,827.03","1,810.78","387.03M","-0.20%"
"2010- 09- 13","1,818.86","1,812.03","1,819.12","1,807.59","386.84M","0.90%"
"2010- 09- 10","1,802.58","1,792.75","1,808.18","1,791.95","340.65M","1.02%"
"2010- 09- 09","1,784.36","1,786.83","1,790.47","1,775.07","367.86M","0.29%"
"2010- 09- 08","1,779.22","1,780.48","1,785.48","1,770.78","322.53M","-0.48%"
"2010- 09- 07","1,787.74","1,792.07","1,796.50","1,786.37","316.86M","-0.26%"
"2010- 09- 06","1,792.42","1,791.76","1,794.07","1,784.49","328.11M","0.70%"
"2010- 09- 03","1,780.02","1,780.80","1,786.04","1,774.95","312.02M","0.24%"
"2010- 09- 02","1,775.73","1,783.22","1,783.85","1,767.67","292.78M","0.63%"
"2010- 09- 01","1,764.69","1,751.96","1,767.21","1,748.30","305.27M","1.26%"
"2010- 08- 31","1,742.75","1,746.85","1,752.07","1,736.23","289.49M","-0.99%"
"2010- 08- 30","1,760.13","1,749.02","1,760.35","1,746.21","247.36M","1.77%"
"2010- 08- 27","1,729.56","1,724.00","1,732.84","1,719.20","245.58M","-0.01%"
"2010- 08- 26","1,729.76","1,744.08","1,744.40","1,729.76","303.05M","-0.29%"
"2010- 08- 25","1,734.79","1,745.77","1,753.57","1,734.79","346.28M","-1.46%"
"2010- 08- 24","1,760.53","1,757.10","1,771.76","1,749.11","401.70M","-0.41%"
"2010- 08- 23","1,767.71","1,780.59","1,788.71","1,766.77","330.34M","-0.44%"
"2010- 08- 20","1,775.54","1,769.02","1,776.35","1,765.58","362.00M","-0.23%"
"2010- 08- 19","1,779.64","1,763.60","1,781.07","1,762.98","344.95M","1.00%"
"2010- 08- 18","1,761.99","1,763.84","1,765.01","1,753.68","371.48M","0.40%"
"2010- 08- 17","1,755.03","1,737.36","1,757.22","1,734.51","427.00M","0.67%"
"2010- 08- 16","1,743.31","1,735.36","1,746.02","1,716.86","314.46M","-0.17%"
"2010- 08- 13","1,746.24","1,731.15","1,747.11","1,725.24","278.60M","1.42%"
"2010- 08- 12","1,721.75","1,731.34","1,742.80","1,721.75","359.76M","-2.07%"
"2010- 08- 11","1,758.19","1,775.34","1,776.99","1,754.18","380.36M","-1.29%"
"2010- 08- 10","1,781.13","1,792.12","1,794.55","1,779.57","301.06M","-0.50%"
"2010- 08- 09","1,790.17","1,779.38","1,790.21","1,776.72","290.70M","0.36%"
"2010- 08- 06","1,783.83","1,782.47","1,785.98","1,769.46","336.26M","0.00%"
"2010- 08- 05","1,783.86","1,796.63","1,797.42","1,773.49","338.14M","-0.30%"
"2010- 08- 04","1,789.26","1,795.23","1,795.23","1,774.48","335.35M","-0.07%"
"2010- 08- 03","1,790.60","1,796.00","1,796.28","1,784.57","349.33M","0.47%"
"2010- 08- 02","1,782.27","1,771.38","1,784.10","1,767.60","332.86M","1.30%"
"2010- 07- 30","1,759.33","1,768.24","1,774.74","1,754.58","370.94M","-0.65%"
"2010- 07- 29","1,770.88","1,770.44","1,776.96","1,767.96","348.62M","-0.15%"
"2010- 07- 28","1,773.47","1,773.69","1,775.82","1,764.54","325.70M","0.29%"
"2010- 07- 27","1,768.31","1,775.47","1,778.72","1,765.42","361.54M","-0.04%"
"2010- 07- 26","1,769.07","1,760.10","1,774.05","1,758.99","320.60M","0.63%"
"2010- 07- 23","1,758.06","1,756.38","1,760.62","1,745.04","372.76M","1.30%"
"2010- 07- 22","1,735.53","1,744.70","1,752.58","1,732.49","405.18M","-0.76%"
"2010- 07- 21","1,748.78","1,752.69","1,755.66","1,740.11","375.93M","0.69%"
"2010- 07- 20","1,736.77","1,727.38","1,740.82","1,724.60","308.03M","0.28%"
"2010- 07- 19","1,731.95","1,719.14","1,737.90","1,717.97","282.11M","-0.37%"
"2010- 07- 16","1,738.45","1,751.20","1,754.28","1,736.66","376.49M","-0.73%"
"2010- 07- 15","1,751.29","1,754.71","1,759.19","1,748.98","392.85M","-0.38%"
"2010- 07- 14","1,758.01","1,754.43","1,764.81","1,754.12","534.46M","1.32%"
"2010- 07- 13","1,735.08","1,737.92","1,750.48","1,732.85","412.05M","0.06%"
"2010- 07- 12","1,734.05","1,731.73","1,734.05","1,724.60","345.88M","0.64%"
"2010- 07- 09","1,723.01","1,708.72","1,723.14","1,697.61","471.78M","1.43%"
"2010- 07- 08","1,698.64","1,699.17","1,702.65","1,692.93","330.72M","1.37%"
"2010- 07- 07","1,675.65","1,685.77","1,685.77","1,668.61","345.70M","-0.55%"
"2010- 07- 06","1,684.94","1,664.87","1,684.94","1,650.30","337.49M","0.57%"
"2010- 07- 05","1,675.37","1,675.43","1,680.39","1,664.22","356.62M","0.21%"
"2010- 07- 02","1,671.82","1,688.95","1,693.75","1,667.38","344.94M","-0.86%"
"2010- 07- 01","1,686.24","1,687.00","1,693.90","1,664.54","327.66M","-0.71%"
"2010- 06- 30","1,698.29","1,678.54","1,699.55","1,675.47","341.74M","-0.55%"
